"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","STINTFORECAST","TOT","PC_PA","A","1980",17.5953362255345,
"DNK","STINTFORECAST","TOT","PC_PA","A","1981",15.2126600371569,
"DNK","STINTFORECAST","TOT","PC_PA","A","1982",16.7695738334637,
"DNK","STINTFORECAST","TOT","PC_PA","A","1983",12.7021199368082,
"DNK","STINTFORECAST","TOT","PC_PA","A","1984",11.6695615755627,
"DNK","STINTFORECAST","TOT","PC_PA","A","1985",10.2421528969516,
"DNK","STINTFORECAST","TOT","PC_PA","A","1986",9.13772847375351,
"DNK","STINTFORECAST","TOT","PC_PA","A","1987",10.1083333333333,
"DNK","STINTFORECAST","TOT","PC_PA","A","1988",8.59159713830855,
"DNK","STINTFORECAST","TOT","PC_PA","A","1989",9.40251257269904,
"DNK","STINTFORECAST","TOT","PC_PA","A","1990",11.1780052412322,
"DNK","STINTFORECAST","TOT","PC_PA","A","1991",9.91804074345945,
"DNK","STINTFORECAST","TOT","PC_PA","A","1992",11.6977589831545,
"DNK","STINTFORECAST","TOT","PC_PA","A","1993",10.8682421096054,
"DNK","STINTFORECAST","TOT","PC_PA","A","1994",6.30227796442688,
"DNK","STINTFORECAST","TOT","PC_PA","A","1995",6.2027829396449,
"DNK","STINTFORECAST","TOT","PC_PA","A","1996",3.98344890245624,
"DNK","STINTFORECAST","TOT","PC_PA","A","1997",3.73112772444946,
"DNK","STINTFORECAST","TOT","PC_PA","A","1998",4.27207906942092,
"DNK","STINTFORECAST","TOT","PC_PA","A","1999",3.43781881313131,
"DNK","STINTFORECAST","TOT","PC_PA","A","2000",4.99720078894536,
"DNK","STINTFORECAST","TOT","PC_PA","A","2001",4.70266426101073,
"DNK","STINTFORECAST","TOT","PC_PA","A","2002",3.5437189464521,
"DNK","STINTFORECAST","TOT","PC_PA","A","2003",2.42335369416212,
"DNK","STINTFORECAST","TOT","PC_PA","A","2004",2.19504715634607,
"DNK","STINTFORECAST","TOT","PC_PA","A","2005",2.22424465344438,
"DNK","STINTFORECAST","TOT","PC_PA","A","2006",3.18047709164628,
"DNK","STINTFORECAST","TOT","PC_PA","A","2007",4.44165164321789,
"DNK","STINTFORECAST","TOT","PC_PA","A","2008",5.26255654424682,
"DNK","STINTFORECAST","TOT","PC_PA","A","2009",2.49927396723446,
"DNK","STINTFORECAST","TOT","PC_PA","A","2010",1.24844228255641,
"DNK","STINTFORECAST","TOT","PC_PA","A","2011",1.38397944507184,
"DNK","STINTFORECAST","TOT","PC_PA","A","2012",0.620019505615159,
"DNK","STINTFORECAST","TOT","PC_PA","A","2013",0.271360439801744,
"DNK","STINTFORECAST","TOT","PC_PA","A","2014",0.314957823267821,
"DNK","STINTFORECAST","TOT","PC_PA","A","2015",-0.123318837525302,
"DNK","STINTFORECAST","TOT","PC_PA","A","2016",-0.14424612234638,
"DNK","STINTFORECAST","TOT","PC_PA","A","2017",-0.263757906510153,
"DNK","STINTFORECAST","TOT","PC_PA","A","2018",-0.299244289246279,
"DNK","STINTFORECAST","TOT","PC_PA","A","2019",-0.371996933897105,
"DNK","STINTFORECAST","TOT","PC_PA","A","2020",-0.240562448377752,
"DNK","STINTFORECAST","TOT","PC_PA","A","2021",-0.230067431692703,
"DNK","STINTFORECAST","TOT","PC_PA","A","2022",0.615516009597445,
